title,actual,predicted
news massive waste stadium washington built host james comey hearing cost billion,Onion Article,Real Article
terrorists blast egypt air hijacker making mockery terrorism,Onion Article,Real Article
news master diplomat pundits noted similarities trump korea statements jfk iconic prepare radioactive skeletons motherfuckers speech cuban missile crisis,Onion Article,Real Article
paul ryan sitting among undecided voters town hall debate,Onion Article,Real Article
fashion designers announce plans wave hands bow slightly,Onion Article,Real Article
breakdancing considered olympics,Onion Article,Real Article
understanding conflict,Onion Article,Real Article
finland aims,Onion Article,Real Article
ruth bader ginsburg returns supreme court surgery,Onion Article,Real Article
news disgrace ceo beans stepped amid reports ceo beans,Onion Article,Real Article
poll finds americans still undecided whether vote fear spite,Onion Article,Real Article
news shots fired spalding warned tropicana never breed oranges even close size basketballs,Onion Article,Real Article
associates giuliani indicted campaign finance charges,Onion Article,Real Article
dementia risk higher near busy roads,Onion Article,Real Article
trump promises continue recognize preserve palestinians historic refugee camps,Onion Article,Real Article
new year eve numbers,Onion Article,Real Article
obama receives classified briefing likelihood krull reboot,Onion Article,Real Article
,Onion Article,Real Article
controversial heartbeat bill passes ohio,Onion Article,Real Article
expect gop debate,Onion Article,Real Article
proud billionaire helps young son open first offshore bank account,Onion Article,Real Article
oil discovered alaska,Onion Article,Real Article
neither boss employee paid enough deal,Onion Article,Real Article
mexico builds border wall keep assholes,Onion Article,Real Article
brexit could delayed,Onion Article,Real Article
beto rourke son concerned trump order ukraine investigate next,Onion Article,Real Article
political polling works,Onion Article,Real Article
news avoiding conflicts interest donald trump says tries access businesses chip mike pence skull detonate,Onion Article,Real Article
public assured escaped convict years rehabilitation belt,Onion Article,Real Article
asimo robot kills two scientists japan escapes laboratory,Onion Article,Real Article
chinese citizens gather beijing square watch national debt clock strike trillion,Onion Article,Real Article
mueller poses fox news host coax rudy giuliani giving testimony trump,Onion Article,Real Article
senate republicans seek delay kavanaugh vote accuser properly smeared,Onion Article,Real Article
clinton throws flash grenade divert attention question senate voting record,Onion Article,Real Article
must see national security ftw department homeland security placed scarecrow top freedom tower prevent another,Onion Article,Real Article
million would lose coverage gop health plan,Onion Article,Real Article
gary johnson worried peaking early hitting polls,Onion Article,Real Article
gop warns refugees likely driven terrorism way america would treat,Onion Article,Real Article
news latest attack russian hackers gained full control lincoln memorial legs,Onion Article,Real Article
report gun,Onion Article,Real Article
summary gamergate movement immediately change members find details objectionable,Onion Article,Real Article
neil gorsuch vows interpret constitution using scalia original intent,Onion Article,Real Article
bold new rebrand military new official slogan toot toot honk honk army,Onion Article,Real Article
marco rubio embarks rowboat help venezuela coup effort,Onion Article,Real Article
white house convenes panel scientists make case trump capable crushing train bare hands,Onion Article,Real Article
military announces plan consolidate wars final epic battle,Onion Article,Real Article
trump announces search fill fbi director post,Onion Article,Real Article
clippers retire donald sterling jersey,Onion Article,Real Article
portrait next coffin likely deceased,Onion Article,Real Article
donald trump rift paul ryan needed middle cleanse,Onion Article,Real Article
trump hatred sides heart,Onion Article,Real Article
make war iraq,Onion Article,Real Article
wise oracle proclaims barbecue felt raindrop,Onion Article,Real Article
poll finds americans would vote jeb bush candidate standing right next voting booth,Onion Article,Real Article
news last hurdle congress informed puerto rico state gets obesity rate average,Onion Article,Real Article
fbi shuts prominent new isis recruitment website,Onion Article,Real Article
made days without spending dime,Onion Article,Real Article
georgia teen sentenced life prison killing sister password,Onion Article,Real Article
republicans expose obama college plan plot make people smarter new yorker,Onion Article,Real Article
new york times corrects story admitting burned venezuela aid convoy,Onion Article,Real Article
news crisis france emmanuel macron study abroad program ends june,Onion Article,Real Article
poll finds many voters would support equally unlikable candidate,Onion Article,Real Article
man believe obama would use tragedy push agenda,Onion Article,Real Article
lululemon executives furious focus group leaves product testing intact,Onion Article,Real Article
report unclear whether opposition every sector american society effect healthcare bill passing,Onion Article,Real Article
raytheon ceo sends obama another article mounting unrest libya,Onion Article,Real Article
corporate disaster ceo trojan held press conference children issue urgent recall trojan condoms,Onion Article,Real Article
new poll finds millennials far likely politically identify feudalists previous generations,Onion Article,Real Article
fireworks accident close tip florida,Onion Article,Real Article
fall canceled billion seasons,Onion Article,Real Article
new hampshire covered shadow floating clinton campaign headquarters takes position state,Onion Article,Real Article
cdc warns jitterbug spreading across country rate seen since,Onion Article,Real Article
news foreign policy blunder cia disclosed hundreds intelligence memos chinese government accidentally selecting printer,Onion Article,Real Article
president lawyers move discredit michael cohen pointing history committing crimes trump,Onion Article,Real Article
spent week without helicopters,Onion Article,Real Article
trump supporters worried racist attacks progressive democrats talk,Onion Article,Real Article
obamacare gop new health plan,Onion Article,Real Article
world leaders pour washington pay last respects dying nation,Onion Article,Real Article
revolt forecasted weather forecast nyc,Onion Article,Real Article
top upcycling ideas,Onion Article,Real Article
kids rejoice end net neutrality means return speeds,Onion Article,Real Article
vatican policymaking manipulated powerful second commandment rights groups,Onion Article,Real Article
congress honors first capitalizers,Onion Article,Real Article
john boehner calls national guard deal illegal immigrants hiding mexico,Onion Article,Real Article
jealous paul ryan asks legislator approval rating secret,Onion Article,Real Article
trump use twitter major policy announcements,Onion Article,Real Article
secret service shuts biden unofficial white house tour operation,Onion Article,Real Article
trump tries doxx impeachment inquiry tweeting address capitol building,Onion Article,Real Article
miami heat confident right officiating triumph pacers,Onion Article,Real Article
trump says russia helped win election,Onion Article,Real Article
cheadle planned darfur genocide create role,Onion Article,Real Article
report middle east quickly running land area violence spill,Onion Article,Real Article
companies discontinue unpaid intern fights,Onion Article,Real Article
suffer severe psychological issues need help mental health professionals says trump pointed debate comeback,Onion Article,Real Article
invaded iraq impress slenderman george bush,Onion Article,Real Article
donald trump pardons would honored serve secretary agriculture,Onion Article,Real Article
supreme court votes legalize worldly vices,Onion Article,Real Article
candidate obama president obama would survive,Onion Article,Real Article
report social justice milestones go achieves full equality,Onion Article,Real Article
clinton credits nevada victory inescapable tide fate,Onion Article,Real Article
female presidential candidate united states senator secretary state told inspiring,Onion Article,Real Article
time talk america broadest least focused sense,Onion Article,Real Article
trump accuses voters meddling midterms,Onion Article,Real Article
kavanaugh claims never committed sexual assault defined future supreme court case,Onion Article,Real Article
oxycontin maker criticized new gets high campaign,Onion Article,Real Article
honda civic refusing start engine solidarity striking uber workers,Onion Article,Real Article
democrats launch new listen hayseeds campaign connect rural voters,Onion Article,Real Article
former trump advisor carter page found dumb hotel room,Onion Article,Real Article
bernie sanders announces bid,Onion Article,Real Article
iowa fashion week begins,Onion Article,Real Article
bold new policy epa announced squirrels hack deserve protection,Onion Article,Real Article
news hypocritical spending costs million month secret service protect donald trump accidentally killing bathroom,Onion Article,Real Article
nflpa warns holdouts need consider risk end sign jets,Onion Article,Real Article
trump warns iran tolerate widespread suffering country besides america,Onion Article,Real Article
purdue pharma reports opioid deaths falling short quarterly goals,Onion Article,Real Article
obama turns despite republican opposition,Onion Article,Real Article
christ appears roman court contest riot charges,Onion Article,Real Article
secret marriage trust respect threatening kill leaves,Onion Article,Real Article
alabama begins offering tax credit attract youtube fail compilations filmed state,Onion Article,Real Article
million baby boomers abscond fiji draining nation social security medicare accounts,Onion Article,Real Article
millions gallons oil spill washington ruptured rex tillerson,Onion Article,Real Article
new epa regulations would force power plants find loopholes,Onion Article,Real Article
urban polling stations urge voters immediately get back line general election,Onion Article,Real Article
repressing freedom china censoring amir jake amir videos citizens idolize slothful imbecile ways,Onion Article,Real Article
navy forms elite new seal team write books,Onion Article,Real Article
indiana governor insists new law nothing thing explicitly intended,Onion Article,Real Article
tc energy says keystone pipeline failed due protestors making lose confidence,Onion Article,Real Article
details donald trump immigration plan,Onion Article,Real Article
alabama forced release thousands sex offenders inmates deny charges,Onion Article,Real Article
july,Onion Article,Real Article
aides wrestle drill trump hands tries remove obama listening device skull,Onion Article,Real Article
poll bullshit important issue voters,Onion Article,Real Article
paul ryan calls trump take dismantling america seriously,Onion Article,Real Article
underworld health organization launches initiative improve incubus immortality rate,Onion Article,Real Article
pr firm advises cut ties alabama,Onion Article,Real Article
latest attack isis put pentagon ebay,Onion Article,Real Article
dancing pantsless rex tillerson slides across floor empty state department,Onion Article,Real Article
new prius helps environment killing owner,Onion Article,Real Article
obama hoping run populace presidency,Onion Article,Real Article
angel kills dozens bystanders vatican air show,Onion Article,Real Article
bodybuilder strong,Onion Article,Real Article
religion triggers brain reward centers,Onion Article,Real Article
explosion,Onion Article,Real Article
adults suffer hearing loss,Onion Article,Real Article
chinese officials vow fix nation crumbling reeducation system,Onion Article,Real Article
authorities struggling keep squatters empty state department,Onion Article,Real Article
informal tone cover letter sets job applicant apart seriously considered candidates,Onion Article,Real Article
nate silver defends torture methods used make election projections,Onion Article,Real Article
ceo special knack recognizing great ideas ruining,Onion Article,Real Article
zach braff alyssa milano call trump far effectively pivoting politics save floundering career,Onion Article,Real Article
gop quick point michael cohen merely rnc deputy finance chairman,Onion Article,Real Article
infowars moves ban alex jones,Onion Article,Real Article
city chicago working around clock clear inches bullet casings streets,Onion Article,Real Article
technology,Onion Article,Real Article
dakota access pipeline blocked,Onion Article,Real Article
story illegal immigration affects jobs,Onion Article,Real Article
presidential pardons history,Onion Article,Real Article
fcc chair unveils premium comment line net neutrality complaints per month,Onion Article,Real Article
congress demands know facebook got people give civil liberties without fight,Onion Article,Real Article
supreme court rules supreme court rules,Onion Article,Real Article
obama issues presidential pardon get biden jail third time year,Onion Article,Real Article
nigel farage dies milkshake wounds,Onion Article,Real Article
opening staff rails incompetence closing staff,Onion Article,Real Article
experts say puerto rico still extremely vulnerable future government,Onion Article,Real Article
report go ahead tell bribery reason get columbia,Onion Article,Real Article
epa urges flint residents stop dumping tap water drain,Onion Article,Real Article
war christmas real purell leading charge,Onion Article,Real Article
hypochondriacs likely health issues,Onion Article,Real Article
dixie donates million clean drinking cups southern africa,Onion Article,Real Article
netanyahu assures critics still utmost respect money,Onion Article,Real Article
impatient raytheon declares war north korea,Onion Article,Real Article
pelosi concerned outspoken progressive flank party could harm democrats reputation ineffectual cowards,Onion Article,Real Article
trump makes push appeal whites,Onion Article,Real Article
moscow officials deny accusations money laundering world cup game played billion vacant gravel lot,Onion Article,Real Article
gop recommends americans set aside income one jobs pay healthcare new bill,Onion Article,Real Article
yellowstone cuts funding program provide hibernating bears sleeping caps,Onion Article,Real Article
white house geologic era debate gun control,Onion Article,Real Article
tired friends meet bar discuss thematically linked days,Onion Article,Real Article
presidents,Onion Article,Real Article
right host changes abortion stance realizing show aborted,Onion Article,Real Article
american people hire lobbyist push interests congress,Onion Article,Real Article
best path gary johnson asks campaign aides packing office,Onion Article,Real Article
greece demands iran pay billion euros reparations wars,Onion Article,Real Article
obama returns paris climate talks couple light bulbs,Onion Article,Real Article
study support bill rights highest attempting talk way drunk driving arrest,Onion Article,Real Article
memorial honors victims imminent dam disaster,Onion Article,Real Article
trump honor deliver state union,Onion Article,Real Article
exhausted mueller trying find trump organization russia documents amid thousands harassment lawsuits,Onion Article,Real Article
video border siege america effeminate men growing hair order rapunzel illegal immigrants trump border wall,Onion Article,Real Article
timeline trump relationship press,Onion Article,Real Article
couple threatens divorce gay marriage legalized,Onion Article,Real Article
turkey pardon mishap results accidental release serial rapist,Onion Article,Real Article
peruvian rebels seize control lives,Onion Article,Real Article
poll debate viewers tuning solely see whether roof collapses,Onion Article,Real Article
greek prime minister unfriends angela merkel facebook,Onion Article,Real Article
bolton argues war iran way avenge americans killed upcoming war iran,Onion Article,Real Article
baseball fix pacing issues limiting visits games,Onion Article,Real Article
trump approval rating surges immediately following nancy pelosi opening impeachment proceedings,Onion Article,Real Article
american presidency,Onion Article,Real Article
west hollywood urges removal trump walk fame star,Onion Article,Real Article
dangerous,Onion Article,Real Article
world greatest soccer stars arrive brazil monthlong ad,Onion Article,Real Article
activists speak secondhand spit,Onion Article,Real Article
sae fraternity yale university accused hosting girls party,Onion Article,Real Article
new york city declares emergency measles outbreak,Onion Article,Real Article
white house supports military draft registration women,Onion Article,Real Article
nra visits colorado police evidence room check rifle used planned parenthood shooting,Onion Article,Real Article
dozens countries interfered election annoyed russia getting credit,Onion Article,Real Article
marco rubio still days publicly humiliated national stage,Onion Article,Real Article
supreme court rules death penalty badass,Onion Article,Real Article
measures force company start hiring female employees,Onion Article,Real Article
indicts russian officials indicted election hacking,Onion Article,Real Article
caitlyn jenner bravely stands trans people unlimited resources,Onion Article,Real Article
cnn technicians rush empty wolf blitzer urine tank midway election coverage,Onion Article,Real Article
trump holds strategy meeting campaign top militia leaders ahead election day,Onion Article,Real Article
media urged release names presidential candidates effort prevent copycats,Onion Article,Real Article
military apologizes drone strike intended yemeni isis base accidentally hits west palm beach wedding,Onion Article,Real Article
vagina five shadow,Onion Article,Real Article
forces syria begin attack final isis encampment,Onion Article,Real Article
green giant offering program gun owners trade firearms green beans,Onion Article,Real Article
man family rises fourth priority,Onion Article,Real Article
hoax,Onion Article,Real Article
outback employees return mandatory walkabout australian wilderness,Onion Article,Real Article
must see heartbreaking gary johnson received rejection letter president united states,Onion Article,Real Article
last thing government worker needed agency labeling nonessential,Onion Article,Real Article
trump vows extensive search find new dhs director ideal personality disorders,Onion Article,Real Article
trump ties thousands balloons white house roof attempt sail away impeachment inquiry,Onion Article,Real Article
nra says mass shootings unfortunate price protecting people freedom commit mass shootings,Onion Article,Real Article
trump asks entire senate clear chamber speak comey alone,Onion Article,Real Article
report peaceful transfer power makes push become pressing issue election,Onion Article,Real Article
trump selects longtime personal plane head faa,Onion Article,Real Article
cnn promises maintain complete lack editorial integrity despite amp warner merger,Onion Article,Real Article
john kelly takes responsibility failing properly silence victims,Onion Article,Real Article
handwriting expert confirms killer used cursive,Onion Article,Real Article
treasury department issues emergency recall us dollars,Onion Article,Real Article
border patrol increases staff hiring cheap immigrant labor,Onion Article,Real Article
